id;day;trial;date;size;errors;time;rate_error;rate_time;degree_ornam;female_accep;neophobia;body_condition;degree_mat_female
M3;4;16;30/05/19;4175,000;4;33;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;4;17;30/05/19;4175,000;2;21;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;4;18;30/05/19;4175,000;2;28;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;4;19;30/05/19;4175,000;1;18;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;4;20;30/05/19;4175,000;5;69;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;5;21;01/06/19;4175,000;0;20;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;5;22;01/06/19;4175,000;4;27;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;5;23;01/06/19;4175,000;2;15;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;5;24;01/06/19;4175,000;2;26;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M3;5;25;01/06/19;4175,000;2;22;-0,0984615;-0,0313385;-0,1045646;Rejected;0,6956000;-0,0137911;-0,0341607
M4;1;1;27/05/19;3.826;5;114;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;1;2;27/05/19;3.826;6;43;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;1;3;27/05/19;3.826;3;146;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;1;4;27/05/19;3.826;2;35;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;1;5;27/05/19;3.826;2;99;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;2;6;28/05/19;3.826;2;11;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;2;7;28/05/19;3.826;5;95;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;2;8;28/05/19;3.826;2;16;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;2;9;28/05/19;3.826;4;33;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;2;10;28/05/19;3.826;3;110;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;3;11;29/05/19;3.826;3;166;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;3;12;29/05/19;3.826;1;7;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;3;13;29/05/19;3.826;2;11;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;3;14;29/05/19;3.826;5;100;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;3;15;29/05/19;3.826;2;28;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;4;16;30/05/19;3.826;3;13;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;4;17;30/05/19;3.826;2;20;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;4;18;30/05/19;3.826;3;79;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;4;19;30/05/19;3.826;1;24;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;4;20;30/05/19;3.826;1;39;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;5;21;01/06/19;3.826;2;38;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;5;22;01/06/19;3.826;3;20;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;5;23;01/06/19;3.826;1;17;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;5;24;01/06/19;3.826;1;9;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
M4;5;25;01/06/19;3.826;1;8;-0,1123077;-0,0646204;-0,0768116;Rejected;0,6983000;0,0006875;-0,0109491
